Data Enterer Initials,Page Number,Date,Block Number,Tag Number,Acorn or seedling?,Acorn #,Treatment,Seedling Height (cm),# Leaves on Seedling,Number of Acorns That Germinated,Is Salvia apiana alive,Notes,Data Entered,QAQC,,
KB,4,4/12/2025,8,187,Acorn,0,SA,0,0,1,Yes,"A1 tag there, oak is gone
Site is way over grown! Had to do some weeding ",Kenzie Boglin,,,
KB,4,4/12/2025,8,188,Acorn,0,SA,11.4,12,1,Missing,,Kenzie Boglin,,,
KB,4,4/12/2025,8,189,Seedling ,N/A,SA,0,0,N/A,Missing,Nothing there,Kenzie Boglin,,,
KB,4,4/12/2025,8,190,Acorn,1,SA,128.4,393,2,Missing,Both doing great!,Kenzie Boglin,,,
KB,4,4/12/2025,8,190,Acorn,2,SA,77.3,400,2,Missing ,Both doing great!,Kenzie Boglin,,,
KB,4,4/12/2025,8,191,Seedling ,N/A,SA,0,0,N/A,Missing ,Dead,Kenzie Boglin,,,
KB,4,4/12/2025,8,192,Seedling ,N/A,SA,58.5,153,N/A,Missing ,Beautiful!,Kenzie Boglin,,,
KB ,5,4/12/2025,7,157,Acorn,0,AC,0,0,0,N/A,Nothing there,Kenzie Boglin,,,
KB ,5,4/12/2025,7,158,Acorn,0,AC,0,0,0,N/A,Nothing there,Kenzie Boglin,,,
KB ,5,4/12/2025,7,159,Acorn,1,AC,19.7,12,3,N/A,,Kenzie Boglin,,,
KB ,5,4/12/2025,7,159,Acorn,2,AC,8,5,3,N/A,,Kenzie Boglin,,,
KB ,5,4/12/2025,7,159,Acorn,3,AC,9.5,8,3,N/A,,Kenzie Boglin,,,
KB ,5,4/12/2025,7,160,Seedling ,N/A,AC,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
KB ,5,4/12/2025,7,161,Seedling,N/A,AC,0,0,N/A,N/A,Nothing there,Kenzie Boglin,,,
KB ,5,4/12/2025,7,162,Seedling ,N/A,AC,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
KB ,5,4/12/2025,7,203,NR,N/A,AC,13.1,43,N/A,N/A,,Kenzie Boglin,,,
KB ,5,4/12/2025,7,204,NR,N/A,AC,50.3,91,N/A,N/A,,Kenzie Boglin,,,
KB,6,4/12/2025,7,151,Acorn,0,OA,0,0,0,N/A,Nothing there,Kenzie Boglin,,,
KB,6,4/12/2025,7,152,Acorn,1,OA,6.6,10,1,N/A,Small ,Kenzie Boglin,,,
KB,6,4/12/2025,7,153,Acorn ,0,OA,0,0,1,N/A,Dead,Kenzie Boglin,,,
KB,6,4/12/2025,7,154,Seedling,N/A,OA,0,0,N/A,N/A,Dead/brown,Kenzie Boglin,,,
KB,6,4/12/2025,7,155,Seedling,N/A,OA,0,0,N/A,N/A,Dead/brown ,Kenzie Boglin,,,
KB,6,4/12/2025,7,156,Seedling ,N/A,OA,0,0,N/A,N/A,Dead/Brown ,Kenzie Boglin,,,
KH ,7,4/12/2025,7,163,Acorn,0,SA,0,0,0,Missing ,,Kenzie Boglin,,,
KH ,7,4/12/2025,7,164,Acorn,0,SA,0,0,0,Missing ,,Kenzie Boglin,,,
KH ,7,4/12/2025,7,165,Acorn,0,SA,0,0,0,Missing ,,Kenzie Boglin,,,
KH ,7,4/12/2025,7,166,Seedling,N/A,SA,0,0,N/A,Missing ,,Kenzie Boglin,,,
KH ,7,4/12/2025,7,167,Seedling ,N/A,SA,0,0,N/A,Missing ,Dead,Kenzie Boglin,,,
KH ,7,4/12/2025,7,168,Seedling ,N/A,SA,0,0,N/A,Missing ,Dead,Kenzie Boglin,,,
KH ,8,4/12/2025,7,145,Acorn,0,DT,0,0,0,N/A,,Kenzie Boglin,,,
KH ,8,4/12/2025,7,146,Seedling,N/A,DT,0,0,N/A,N/A,,Kenzie Boglin,,,
KH ,8,4/12/2025,7,147,Acorn,0,DT,0,0,0,N/A,Crushed by tree,Kenzie Boglin,,,
KH ,8,4/12/2025,7,148,Seedling ,N/A,DT,0,0,N/A,N/A,,Kenzie Boglin,,,
KH ,8,4/12/2025,7,149,Acorn,0,DT,0,0,0,N/A,Dead,Kenzie Boglin,,,
KH ,8,4/12/2025,7,150,Seedling ,N/A,DT,0,0,N/A,N/A,Crushed by tree,Kenzie Boglin,,,
KH ,8,4/12/2025,7,202,NR,N/A,DT,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
JS ,9,4/12/2025,6,127,Acorn,1,OA,28,86,2,N/A,,Kenzie Boglin,,,
JS ,9,4/12/2025,6,127,Acorn,2,OA,27,26,2,N/A,,Kenzie Boglin,,,
JS ,9,4/12/2025,6,128,Acorn ,0,OA,0,0,0,N/A,,Kenzie Boglin,,,
JS ,9,4/12/2025,6,129,Acorn,1,OA,11,20,3,N/A,,Kenzie Boglin,,,
JS ,9,4/12/2025,6,129,Acorn ,2,OA,15,18,3,N/A,,Kenzie Boglin,,,
JS ,9,4/12/2025,6,129,Acorn ,3,OA,6,16,3,N/A,,Kenzie Boglin,,,
JS ,9,4/12/2025,6,130,Seedling ,N/A,OA,19,11,N/A,N/A,,Kenzie Boglin,,,
JS ,9,4/12/2025,6,131,Seedling ,N/A,OA,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
JS ,9,4/12/2025,6,132,Seedling ,N/A,OA,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
JS ,9,4/12/2025,6,200,NR,N/A,NR,49.5,245,N/A,N/A,NR,Kenzie Boglin,,,
JS ,10,4/12/2025,6,121,Seedling,N/A,DT,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
JS ,10,4/12/2025,6,122,Acorn,0,DT,0,0,0,N/A,,Kenzie Boglin,,,
JS ,10,4/12/2025,6,123,Seedling ,N/A,DT,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
JS ,10,4/12/2025,6,124,Acorn,0,DT,0,0,0,N/A,,Kenzie Boglin,,,
JS ,10,4/12/2025,6,125,Seedling,N/A,DT,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
JS ,10,4/12/2025,6,126,Acorn ,0,DT,0,0,0,N/A,,Kenzie Boglin,,,
JS ,10,4/12/2025,6,201,NR,N/A,NR,26,57,N/A,N/A,,Kenzie Boglin,,,
KB,11,4/12/2025,6,139,Acorn,0,SA,0,0,0,Yes,"Nothing 
Site overgrown & hard to find 
Sages being crowded out ",Kenzie Boglin,,,
KB,11,4/12/2025,6,140,Acorn,0,SA,0,0,0,Yes,Nothing/overgrown,Kenzie Boglin,,,
KB,11,4/12/2025,6,141,Acorn ,0,SA,0,0,0,Missing ,Nothing ,Kenzie Boglin,,,
KB,11,4/12/2025,6,142,Seedling ,N/A,SA,0,0,N/A,Missing ,Dead,Kenzie Boglin,,,
KB,11,4/12/2025,6,143,Seedling ,N/A,SA,0,0,N/A,Yes ,Dead,Kenzie Boglin,,,
KB,11,4/12/2025,6,144,Seedling ,N/A,SA,0,0,N/A,Yes ,Dead,Kenzie Boglin,,,
KB,12,4/12/2025,6,133,Acorn,0,AC,0,0,0,N/A,Nothing there,Kenzie Boglin,,,
KB,12,4/12/2025,6,134,Acorn ,0,AC,0,0,0,N/A,Nothing,Kenzie Boglin,,,
KB,12,4/12/2025,6,135,Acorn,1,AC,0,0,2,N/A,Late germ? A1 dead,Kenzie Boglin,,,
KB,12,4/12/2025,6,135,Acorn,2,AC,2.8,2,2,N/A,Late germ?,Kenzie Boglin,,,
KB,12,4/12/2025,6,136,Seedling ,N/A ,AC,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
KB,12,4/12/2025,6,137,Seedling ,N/A ,AC,0,0,N/A,N/A,"Nothing, scarlet pimpernel took over",Kenzie Boglin,,,
KB,12,4/12/2025,6,138,Seedling ,N/A ,AC,0,0,N/A,N/A,"Nothing, horehound took over",Kenzie Boglin,,,
KB,12,4/12/2025,6,199,NR,N/A ,NR,0,0,N/A,N/A,Nothing there,Kenzie Boglin,,,
KB ,13,4/12/2025,5,97,Seedling ,N/A ,SA,32.3,26,N/A,Yes,,Kenzie Boglin,,,
KB ,13,4/12/2025,5,98,Seedling ,N/A ,SA,0,0,N/A,Missing ,Overgrown/no oak,Kenzie Boglin,,,
KB ,13,4/12/2025,5,99,Seedling ,N/A ,SA,0,0,N/A,Missing ,Nothing ,Kenzie Boglin,,,
KB ,13,4/12/2025,5,100,Acorn ,0,SA,0,0,0,Missing ,Nothing ,Kenzie Boglin,,,
KB ,13,4/12/2025,5,101,Acorn ,0,SA,0,0,0,Missing ,Nothing/ overgrown ,Kenzie Boglin,,,
KB ,13,4/12/2025,5,102,Acorn ,1,SA,9.1,12,2,Missing ,,Kenzie Boglin,,,
KB ,13,4/12/2025,5,102,Acorn ,2,SA,12.7,14,2,Missing ,,Kenzie Boglin,,,
KB,14,4/12/2025,5,103,Acorn ,0,DT,0,0,0,N/A,Nothing ,Kenzie Boglin,,,
KB,14,4/12/2025,5,104,Seedling ,N/A,DT,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
KB,14,4/12/2025,5,105,Acorn,0,DT,0,0,0,N/A,Nothing/mushroom,Kenzie Boglin,,,
KB,14,4/12/2025,5,106,Seedling ,N/A,DT,25.3,30,N/A,N/A,Weeds overgrowing ,Kenzie Boglin,,,
KB,14,4/12/2025,5,107,Acorn ,0,DT,0,0,0,N/A,Nothing,Kenzie Boglin,,,
KB,14,4/12/2025,5,108,Seedling,N/A,DT,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
JS ,15,4/12/2025,5,115,Seedling,N/A,AC,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
JS ,15,4/12/2025,5,116,Seedling ,N/A,AC,0,0,N/A,N/A,Missing ,Kenzie Boglin,,,
JS ,15,4/12/2025,5,117,Seedling ,N/A,AC,0,0,N/A,N/A,Dead,Kenzie Boglin,,,
JS ,15,4/12/2025,5,118,Acorn ,0,AC,0,0,0,N/A,,Kenzie Boglin,,,
JS ,15,4/12/2025,5,119,Acorn ,0,AC,0,0,0,N/A,,Kenzie Boglin,,,
JS ,15,4/12/2025,5,120,Acorn,0,AC,0,0,0,N/A,,Kenzie Boglin,,,
JS,16,4/12/2025,5,109,Acorn,0,OA,15.5,33,1,N/A,,Kenzie Boglin,,,
JS,16,4/12/2025,5,110,Acorn,0,OA,11,15,1,N/A,,Kenzie Boglin,,,
JS,16,4/12/2025,5,111,Acorn,1,OA,12.5,29,2,N/A,,Kenzie Boglin,,,
JS,16,4/12/2025,5,111,Acorn,2,OA,0,0,2,N/A,"A2 dead, 2 germs?",Kenzie Boglin,,,"I matched block 5 OA to 2024 Fall data so it does not reflect what is on the scanned data, please confirm "
JS,16,4/12/2025,5,112,Seedling ,N/A,OA,0,0,N/A,N/A,,Kenzie Boglin,,,
JS,16,4/12/2025,5,113,Seedling ,N/A,OA,0,0,N/A,N/A,,Kenzie Boglin,,,
JS,16,4/12/2025,5,114,Seedling ,N/A,OA,0,0,N/A,N/A,,Kenzie Boglin,,,
