Page,Date,Block,Treatment,VWC1,PER1,VWC2,PER2,VWC3,PER3,Notes,Data Entered,QAQC
6,11/16/2024,2,OA,0.0,1.017,0.0,1.049,0.0,1.052,,Kenzie Boglin,Matthew Bohn-Montes
6,11/16/2024,2,SA,0.1,1.077,0.0,1.032,0.0,1.021,,Kenzie Boglin,Matthew Bohn-Montes
6,11/16/2024,2,AC ,0.0,1.039,0.0,1.065,0.0,1.068,,Kenzie Boglin,Matthew Bohn-Montes
6,11/16/2024,2,DT,0.0,1.019,0.6,1.092,0.5,1.087,,Kenzie Boglin,Matthew Bohn-Montes
7,11/16/2024,3,DT,0.0,1.053,0.5,1.089,0.2,1.079,,Kenzie Boglin,Matthew Bohn-Montes
7,11/16/2024,3,SA,0.0,1.014,0.0,1.027,0.0,1.033,,Kenzie Boglin,Matthew Bohn-Montes
7,11/16/2024,3,OA,0.0,1.026,0.0,1.039,0.0,1.022,,Kenzie Boglin,Matthew Bohn-Montes
7,11/16/2024,3,AC ,0.0,1.018,0.0,1.048,0.0,1.032,,Kenzie Boglin,Matthew Bohn-Montes
7,11/16/2024,3,NR,0.0,1.073,N/A,N/A,N/A,N/A,Tag 197,Kenzie Boglin,Matthew Bohn-Montes
7,11/16/2024,3,NR,0.0,1.012,N/A,N/A,N/A,N/A,Tag 198,Kenzie Boglin,Matthew Bohn-Montes
